"filename", "language", "Java", "Properties", "XML", "CSS", "comment", "blank", "total"
"pluginutils/presenter/edit/ColorImageEditPresenter.java", "Java", 16, 0, 0, 0, 4, 7, 27
"pluginutils/presenter/edit/RGBByteListEditPresenter.java", "Java", 16, 0, 0, 0, 4, 7, 27
"pluginutils/presenter/edit/RGBListEditPresenter.java", "Java", 16, 0, 0, 0, 4, 7, 27
"pluginutils/presenter/edit/RGBMatrixEditPresenter.java", "Java", 16, 0, 0, 0, 4, 7, 27
"pluginutils/presenter/header/BinaryStringHeaderPresenter.java", "Java", 22, 0, 0, 0, 10, 8, 40
"pluginutils/presenter/header/CharacterStringHeaderPresenter.java", "Java", 22, 0, 0, 0, 10, 8, 40
"pluginutils/presenter/header/ColorImageHeaderPresenter.java", "Java", 22, 0, 0, 0, 10, 8, 40
"pluginutils/presenter/header/RGBByteListHeaderPresenter.java", "Java", 22, 0, 0, 0, 10, 8, 40
"pluginutils/presenter/header/RGBListHeaderPresenter.java", "Java", 22, 0, 0, 0, 10, 8, 40
"pluginutils/presenter/header/RGBMatrixHeaderPresenter.java", "Java", 22, 0, 0, 0, 10, 8, 40
"presenter/ChainPresenter.java", "Java", 154, 0, 0, 0, 103, 65, 322
"presenter/ChainSplitPane.java", "Java", 9, 0, 0, 0, 1, 5, 15
"presenter/ChainSplitPaneSkin.java", "Java", 1028, 0, 0, 0, 157, 147, 1332
"presenter/HelpPresenter.java", "Java", 60, 0, 0, 0, 41, 25, 126
"presenter/IPresenter.java", "Java", 5, 0, 0, 0, 15, 4, 24
"presenter/IndexPagePresenter.java", "Java", 127, 0, 0, 0, 85, 41, 253
"presenter/NetworkPresenter.java", "Java", 163, 0, 0, 0, 75, 76, 314
"presenter/PluginMenuPresenter.java", "Java", 100, 0, 0, 0, 47, 25, 172
"presenter/Presenter.java", "Java", 25, 0, 0, 0, 26, 13, 64
"presenter/PresenterFactory.java", "Java", 29, 0, 0, 0, 51, 12, 92
"presenter/PresenterManager.java", "Java", 35, 0, 0, 0, 44, 21, 100
"presenter/ProcedureLayoutPresenter.java", "Java", 161, 0, 0, 0, 115, 56, 332
"presenter/SettingsPresenter.java", "Java", 119, 0, 0, 0, 67, 57, 243
"presenter/SideMenuPresenter.java", "Java", 81, 0, 0, 0, 49, 31, 161
"presenter/textformatter/IPAddrFormatter.java", "Java", 25, 0, 0, 0, 16, 10, 51
"presenter/textformatter/PortNumFormatter.java", "Java", 26, 0, 0, 0, 16, 10, 52
"standardplugins/bwimageprocedure/BWImageProcedureInformation.java", "Java", 17, 0, 0, 0, 9, 7, 33
"standardplugins/bwimageprocedure/BWImageProcedurePlugin.java", "Java", 64, 0, 0, 0, 11, 15, 90
"standardplugins/bwimageprocedure/presenter/BWImageImportPresenter.java", "Java", 105, 0, 0, 0, 15, 25, 145
"standardplugins/colorimageprocedure/ColorImageProcedureInformation.java", "Java", 19, 0, 0, 0, 11, 4, 34
"standardplugins/colorimageprocedure/ColorImageProcedurePlugin.java", "Java", 66, 0, 0, 0, 8, 16, 90
"standardplugins/colorimageprocedure/presenter/ColorImageImportPresenter.java", "Java", 142, 0, 0, 0, 36, 40, 218
"standardplugins/greyscaleimageprocedure/GreyScaleImageProcedurePlugin.java", "Java", 64, 0, 0, 0, 11, 16, 91
"standardplugins/greyscaleimageprocedure/GreyScaleProcedureInformation.java", "Java", 17, 0, 0, 0, 7, 7, 31
"standardplugins/greyscaleimageprocedure/presenter/GreyScaleImageImportPresenter.java", "Java", 105, 0, 0, 0, 14, 24, 143
"standardplugins/qrcode/TextQRCodeProcedureInformation.java", "Java", 19, 0, 0, 0, 7, 6, 32
"standardplugins/qrcode/TextQRCodeProcedurePlugin.java", "Java", 42, 0, 0, 0, 6, 15, 63
"standardplugins/qrcode/model/BinaryStringToQRCode.java", "Java", 13, 0, 0, 0, 4, 9, 26
"standardplugins/qrcode/model/QRCode.java", "Java", 4, 0, 0, 0, 1, 4, 9
"standardplugins/qrcode/presenter/QRCodeImportPresenter.java", "Java", 27, 0, 0, 0, 7, 11, 45
"standardplugins/rle/TextRLEProcedureInformation.java", "Java", 19, 0, 0, 0, 7, 5, 31
"standardplugins/rle/TextRLEProcedurePlugin.java", "Java", 56, 0, 0, 0, 3, 16, 75
"standardplugins/rle/model/steps/RLEStep.java", "Java", 43, 0, 0, 0, 0, 19, 62
"standardplugins/rle/presenter/RLEImportPresenter.java", "Java", 94, 0, 0, 0, 14, 29, 137
"resources/kodex/model/help/Help_de.properties", "Properties", 0, 8, 0, 0, 0, 1, 9
"resources/kodex/model/help/Help_en.properties", "Properties", 0, 8, 0, 0, 0, 1, 9
"resources/kodex/model/languages/Languages.properties", "Properties", 0, 2, 0, 0, 0, 0, 2
"resources/kodex/model/languages/Languages_de.properties", "Properties", 0, 43, 0, 0, 0, 1, 44
"resources/kodex/model/languages/Languages_en.properties", "Properties", 0, 43, 0, 0, 0, 1, 44
"resources/kodex/model/settings/Default_Settings.properties", "Properties", 0, 4, 0, 0, 0, 0, 4
"resources/kodex/model/settings/User_Settings.properties", "Properties", 0, 4, 0, 0, 0, 0, 4
"resources/kodex/model/sorting_relevancy.properties", "Properties", 0, 0, 0, 0, 0, 1, 1
"resources/kodex/presenter/chainlayout.fxml", "XML", 0, 0, 8, 0, 0, 4, 12
"resources/kodex/presenter/chainlinktemplate.fxml", "XML", 0, 0, 92, 0, 0, 3, 95
"resources/kodex/presenter/editlayout.fxml", "XML", 0, 0, 23, 0, 0, 3, 26
"resources/kodex/presenter/headertemplate.fxml", "XML", 0, 0, 12, 0, 0, 3, 15
"resources/kodex/presenter/helppage.fxml", "XML", 0, 0, 49, 0, 0, 3, 52
"resources/kodex/presenter/importexample.fxml", "XML", 0, 0, 25, 0, 0, 3, 28
"resources/kodex/presenter/indexpage.fxml", "XML", 0, 0, 76, 0, 0, 3, 79
"resources/kodex/presenter/inputexample.fxml", "XML", 0, 0, 30, 0, 0, 3, 33
"resources/kodex/presenter/minisidemenu.fxml", "XML", 0, 0, 81, 0, 0, 3, 84
"resources/kodex/presenter/networkpage.fxml", "XML", 0, 0, 135, 0, 0, 3, 138
"resources/kodex/presenter/overviewbuttontemplate.fxml", "XML", 0, 0, 3, 0, 0, 3, 6
"resources/kodex/presenter/pluginpage.fxml", "XML", 0, 0, 55, 0, 0, 3, 58
"resources/kodex/presenter/procedurebuttontemplate.fxml", "XML", 0, 0, 17, 0, 0, 3, 20
"resources/kodex/presenter/procedurelayout.fxml", "XML", 0, 0, 34, 0, 0, 3, 37
"resources/kodex/presenter/settingspage.fxml", "XML", 0, 0, 84, 0, 0, 3, 87
"resources/kodex/presenter/sidemenu.fxml", "XML", 0, 0, 37, 0, 0, 3, 40
"resources/kodex/presenter/style.css", "CSS", 0, 0, 0, 429, 15, 174, 618
"resources/kodex/standardplugins/bwimageprocedure/presenter/bwimport.fxml", "XML", 0, 0, 25, 0, 0, 3, 28
"resources/kodex/standardplugins/bwimageprocedure/presenter/style.css", "CSS", 0, 0, 0, 113, 4, 51, 168
"resources/kodex/standardplugins/colorimageprocedure/presenter/importexample.fxml", "XML", 0, 0, 25, 0, 0, 3, 28
"resources/kodex/standardplugins/colorimageprocedure/presenter/style.css", "CSS", 0, 0, 0, 113, 4, 51, 168
"resources/kodex/standardplugins/greyscaleimageprocedure/presenter/greyscaleimport.fxml", "XML", 0, 0, 25, 0, 0, 3, 28
"resources/kodex/standardplugins/greyscaleimageprocedure/presenter/style.css", "CSS", 0, 0, 0, 113, 4, 51, 168
"resources/kodex/standardplugins/rle/presenter/importexample.fxml", "XML", 0, 0, 25, 0, 0, 3, 28
"resources/kodex/standardplugins/rle/presenter/style.css", "CSS", 0, 0, 0, 113, 4, 51, 168
"test/java/kodex/MainAppTest.java", "Java", 7, 0, 0, 0, 1, 4, 12
"Total", "-", 6371, 112, 861, 881, 2793, 2402, 13420
